MI School Data,
Educator Effectiveness Trend Statewide: 2018-19 / Teachers,
School Year,Location Name,Location Type,Location Code,Assignment Type,Total Count,HighlyEffective Count,Effective Count,MinimallyEffective Count,Effective Or More Count ,Minimally Effective Or Less Count,Ineffective Count,Highly Effective Percentage,Effective Percentage,Effective Or More Percentage,Minimally Effective Percentage,Minimally Effective Or Less Percentage,Ineffective Percentage,
2011-12,Detroit Academy of Arts and Sciences,District,82929,Teacher,56,40,15,1,55,1,0,71%,27%,98%,2%,2%,0%,
2011-12,Detroit Community Schools,District,82925,Teacher,61,0,61,0,61,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Detroit Edison Public School Academy,District,82945,Teacher,56,0,52,0,52,4,4,0%,93%,93%,0%,7%,7%,
2011-12,Detroit Enterprise Academy,District,82979,Teacher,40,0,19,21,19,21,0,0%,48%,48%,53%,53%,0%,
2011-12,Detroit Leadership Academy,District,82722,Teacher,19,6,12,1,18,1,0,32%,63%,95%,5%,5%,0%,
2011-12,Detroit Merit Charter Academy,District,82974,Teacher,43,1,26,15,27,16,1,2%,60%,63%,35%,37%,2%,
2011-12,Detroit Midtown Academy,District,82964,Teacher,29,5,24,0,29,0,0,17%,83%,100%,0%,0%,0%,
2011-12,Detroit Premier Academy,District,82985,Teacher,39,2,21,14,23,16,2,5%,54%,59%,36%,41%,5%,
2011-12,Detroit Public Schools Community District,District,82015,Teacher,"3,607",425,"2,772",310,"3,197",410,100,12%,77%,89%,9%,11%,3%,
2011-12,Detroit Service Learning Academy,District,82953,Teacher,55,1,49,0,50,5,5,2%,89%,91%,0%,9%,9%,
2011-12,Detroit West Preparatory Academy,District,82909,Teacher,22,4,15,1,19,3,2,18%,68%,86%,5%,14%,9%,
2011-12,DeWitt Public Schools,District,19010,Teacher,158,40,118,0,158,0,0,25%,75%,100%,0%,0%,0%,
2011-12,Dexter Community School District,District,81050,Teacher,236,51,185,0,236,0,0,22%,78%,100%,0%,0%,0%,
2011-12,Dickinson-Iron ISD  - District created from ISD,District,22000,Teacher,17,17,0,0,17,0,0,100%,0%,100%,0%,0%,0%,
2011-12,Discovery Arts and Technology PSA,District,82988,Teacher,17,4,13,0,17,0,0,24%,76%,100%,0%,0%,0%,
2011-12,Dollar Bay-Tamarack City Area  K-12 School,District,31100,Teacher,29,7,22,0,29,0,0,24%,76%,100%,0%,0%,0%,
2011-12,Dove Academy of Detroit,District,82930,Teacher,29,2,23,0,25,4,4,7%,79%,86%,0%,14%,14%,
2011-12,Dowagiac Union School District,District,14020,Teacher,156,7,147,2,154,2,0,4%,94%,99%,1%,1%,0%,
2011-12,Dr. Charles Drew Academy,District,82984,Teacher,27,0,25,0,25,2,2,0%,93%,93%,0%,7%,7%,
2011-12,Dr. Joseph F. Pollack Academic Center of Excellence,District,63910,Teacher,47,25,18,0,43,4,4,53%,38%,91%,0%,9%,9%,
2011-12,Dream Academy,District,11905,Teacher,10,0,7,0,7,3,3,0%,70%,70%,0%,30%,30%,
2011-12,Dryden Community Schools,District,44050,Teacher,37,0,37,0,37,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Dundee Community Schools,District,58050,Teacher,89,0,87,2,87,2,0,0%,98%,98%,2%,2%,0%,
2011-12,Durand Area Schools,District,78030,Teacher,102,15,85,2,100,2,0,15%,83%,98%,2%,2%,0%,
2011-12,Eagle Crest Charter Academy,District,70906,Teacher,43,21,21,1,42,1,0,49%,49%,98%,2%,2%,0%,
2011-12,East Arbor Charter Academy,District,81910,Teacher,30,0,27,3,27,3,0,0%,90%,90%,10%,10%,0%,
2011-12,East China School District,District,74050,Teacher,284,3,279,0,282,2,2,1%,98%,99%,0%,1%,1%,
2011-12,East Grand Rapids Public Schools,District,41090,Teacher,176,0,173,2,173,3,1,0%,98%,98%,1%,2%,1%,
2011-12,East Jackson Community Schools,District,38090,Teacher,75,1,74,0,75,0,0,1%,99%,100%,0%,0%,0%,
2011-12,East Jordan Public Schools,District,15060,Teacher,59,17,42,0,59,0,0,29%,71%,100%,0%,0%,0%,
2011-12,East Lansing School District,District,33010,Teacher,246,107,136,3,243,3,0,44%,55%,99%,1%,1%,0%,
2011-12,Eastern Upper Peninsula ISD  - District created from ISD,District,17000,Teacher,6,5,0,0,5,1,1,83%,0%,83%,0%,17%,17%,
2011-12,Easton Township S/D #6,District,34340,Teacher,2,2,0,0,2,0,0,100%,0%,100%,0%,0%,0%,
2011-12,Eastpointe Community Schools,District,50020,Teacher,245,78,159,7,237,8,1,32%,65%,97%,3%,3%,0%,
2011-12,Eaton Academy,District,82915,Teacher,37,1,36,0,37,0,0,3%,97%,100%,0%,0%,0%,
2011-12,Eaton Rapids Public Schools,District,23050,Teacher,153,0,144,8,144,9,1,0%,94%,94%,5%,6%,1%,
2011-12,Eaton RESA  - District created from ISD,District,23000,Teacher,16,2,14,0,16,0,0,13%,88%,100%,0%,0%,0%,
2011-12,Eau Claire Public Schools,District,11250,Teacher,70,16,54,0,70,0,0,23%,77%,100%,0%,0%,0%,
2011-12,Ecorse Public Schools,District,82250,Teacher,53,22,23,5,45,8,3,42%,43%,85%,9%,15%,6%,
2011-12,Edwardsburg Public Schools,District,14030,Teacher,155,0,155,0,155,0,0,0%,100%,100%,0%,0%,0%,
2011-12,El-Hajj Malik El-Shabazz Academy,District,33902,Teacher,19,11,5,0,16,3,3,58%,26%,84%,0%,16%,16%,
2011-12,Elk Rapids Schools,District,05060,Teacher,80,0,78,0,78,2,2,0%,98%,98%,0%,3%,3%,
2011-12,Elkton-Pigeon-Bay Port Laker Schools,District,32050,Teacher,64,0,64,0,64,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Ellsworth Community School,District,05065,Teacher,16,0,16,0,16,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Elm River Township School District,District,31070,Teacher,2,2,0,0,2,0,0,100%,0%,100%,0%,0%,0%,
2011-12,Endeavor Charter Academy,District,13902,Teacher,35,0,25,10,25,10,0,0%,71%,71%,29%,29%,0%,
2011-12,Engadine Consolidated Schools,District,49055,Teacher,20,8,10,1,18,2,1,40%,50%,90%,5%,10%,5%,
2011-12,Escanaba Area Public Schools,District,21010,Teacher,142,119,22,1,141,1,0,84%,15%,99%,1%,1%,0%,
2011-12,Essexville-Hampton Public Schools,District,09050,Teacher,106,98,7,1,105,1,0,92%,7%,99%,1%,1%,0%,
2011-12,Evart Public Schools,District,67020,Teacher,66,4,62,0,66,0,0,6%,94%,100%,0%,0%,0%,
2011-12,Ewen-Trout Creek Consolidated School District,District,66045,Teacher,17,0,16,1,16,1,0,0%,94%,94%,6%,6%,0%,
2011-12,Excel Charter Academy,District,41905,Teacher,72,10,60,2,70,2,0,14%,83%,97%,3%,3%,0%,
2011-12,Excelsior Township S/D #1,District,40060,Teacher,4,0,0,4,0,4,0,0%,0%,0%,100%,100%,0%,
2011-12,Fairview Area School District,District,68030,Teacher,26,8,17,1,25,1,0,31%,65%,96%,4%,4%,0%,
2011-12,Farmington Public School District,District,63200,Teacher,758,0,755,3,755,3,0,0%,100%,100%,0%,0%,0%,
2011-12,Farwell Area Schools,District,18020,Teacher,95,35,58,1,93,2,1,37%,61%,98%,1%,2%,1%,
2011-12,Fennville Public Schools,District,03050,Teacher,86,0,83,3,83,3,0,0%,97%,97%,3%,3%,0%,
2011-12,Fenton Area Public Schools,District,25100,Teacher,188,0,186,0,186,2,2,0%,99%,99%,0%,1%,1%,
2011-12,Ferndale Public Schools,District,63020,Teacher,221,39,176,0,215,6,6,18%,80%,97%,0%,3%,3%,
2011-12,Fitzgerald Public Schools,District,50090,Teacher,175,0,172,3,172,3,0,0%,98%,98%,2%,2%,0%,
2011-12,Flagship Charter Academy,District,82997,Teacher,39,0,26,13,26,13,0,0%,67%,67%,33%,33%,0%,
2011-12,Flat River Academy,District,41911,Teacher,20,0,10,10,10,10,0,0%,50%,50%,50%,50%,0%,
2011-12,Flat Rock Community Schools,District,82180,Teacher,100,0,100,0,100,0,0,0%,100%,100%,0%,0%,0%,
2011-12,FlexTech High School,District,47903,Teacher,6,0,6,0,6,0,0,0%,100%,100%,0%,0%,0%,
2011-12,"Flint, School District of the City of",District,25010,Teacher,720,0,669,33,669,51,18,0%,93%,93%,5%,7%,3%,
2011-12,Flushing Community Schools,District,25120,Teacher,255,20,234,1,254,1,0,8%,92%,100%,0%,0%,0%,
2011-12,Forest Academy,District,39907,Teacher,10,6,4,0,10,0,0,60%,40%,100%,0%,0%,0%,
2011-12,Forest Area Community Schools,District,40020,Teacher,43,0,40,0,40,3,3,0%,93%,93%,0%,7%,7%,
2011-12,Forest Hills Public Schools,District,41110,Teacher,703,149,549,3,698,5,2,21%,78%,99%,0%,1%,0%,
2011-12,Forest Park School District,District,36015,Teacher,30,3,24,3,27,3,0,10%,80%,90%,10%,10%,0%,
2011-12,Fortis Academy,District,81906,Teacher,39,0,18,19,18,21,2,0%,46%,46%,49%,54%,5%,
2011-12,Four Corners Montessori Academy,District,63923,Teacher,15,0,15,0,15,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Fowler Public Schools,District,19070,Teacher,43,0,43,0,43,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Fowlerville Community Schools,District,47030,Teacher,174,13,157,2,170,4,2,7%,90%,98%,1%,2%,1%,
2011-12,Francis Reh PSA,District,73909,Teacher,25,2,23,0,25,0,0,8%,92%,100%,0%,0%,0%,
2011-12,Frankenmuth School District,District,73190,Teacher,74,5,66,3,71,3,0,7%,89%,96%,4%,4%,0%,
2011-12,Frankfort-Elberta Area Schools,District,10025,Teacher,39,0,39,0,39,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Fraser Public Schools,District,50100,Teacher,315,0,315,0,315,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Freeland Community School District,District,73200,Teacher,103,35,64,3,99,4,1,34%,62%,96%,3%,4%,1%,
2011-12,Fremont Public School District,District,62040,Teacher,131,45,80,5,125,6,1,34%,61%,95%,4%,5%,1%,
2011-12,Frontier International Academy,District,82987,Teacher,15,0,15,0,15,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Fruitport Community Schools,District,61080,Teacher,186,0,186,0,186,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Fulton Schools,District,29050,Teacher,58,0,57,0,57,1,1,0%,98%,98%,0%,2%,2%,
2011-12,Galesburg-Augusta Community Schools,District,39050,Teacher,67,45,20,2,65,2,0,67%,30%,97%,3%,3%,0%,
2011-12,Galien Township School District,District,11160,Teacher,13,7,6,0,13,0,0,54%,46%,100%,0%,0%,0%,
2011-12,Garden City Public Schools,District,82050,Teacher,349,195,149,5,344,5,0,56%,43%,99%,1%,1%,0%,
2011-12,Gaudior Academy,District,82911,Teacher,19,3,15,1,18,1,0,16%,79%,95%,5%,5%,0%,
2011-12,Gaylord Community Schools,District,69020,Teacher,173,52,109,12,161,12,0,30%,63%,93%,7%,7%,0%,
2011-12,GEE Edmonson Academy,District,82731,Teacher,19,0,19,0,19,0,0,0%,100%,100%,0%,0%,0%,
2011-12,GEE White Academy,District,82732,Teacher,25,0,25,0,25,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Genesee ISD  - District created from ISD,District,25000,Teacher,100,2,97,1,99,1,0,2%,97%,99%,1%,1%,0%,
2011-12,Genesee School District,District,25070,Teacher,45,17,27,0,44,1,1,38%,60%,98%,0%,2%,2%,
2011-12,George Crockett Academy,District,82937,Teacher,42,0,33,0,33,9,9,0%,79%,79%,0%,21%,21%,
2011-12,George Washington Carver Academy,District,82963,Teacher,21,0,21,0,21,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Gibraltar School District,District,82290,Teacher,196,153,43,0,196,0,0,78%,22%,100%,0%,0%,0%,
2011-12,Gladstone Area Schools,District,21025,Teacher,92,71,21,0,92,0,0,77%,23%,100%,0%,0%,0%,
2011-12,Gladwin Community Schools,District,26040,Teacher,105,6,95,4,101,4,0,6%,90%,96%,4%,4%,0%,
2011-12,Glen Lake Community Schools,District,45010,Teacher,57,21,32,1,53,4,3,37%,56%,93%,2%,7%,5%,
2011-12,Glenn Public School District,District,03440,Teacher,5,0,5,0,5,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Global Heights Academy,District,82725,Teacher,11,0,11,0,11,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Global Preparatory Academy,District,50904,Teacher,18,0,18,0,18,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Gobles Public School District,District,80110,Teacher,50,23,27,0,50,0,0,46%,54%,100%,0%,0%,0%,
2011-12,Godfrey-Lee Public Schools,District,41120,Teacher,128,53,73,2,126,2,0,41%,57%,98%,2%,2%,0%,
2011-12,Godwin Heights Public Schools,District,41020,Teacher,127,0,127,0,127,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Gogebic-Ontonagon ISD  - District created from ISD,District,27000,Teacher,12,3,9,0,12,0,0,25%,75%,100%,0%,0%,0%,
2011-12,Goodrich Area Schools,District,25050,Teacher,107,33,74,0,107,0,0,31%,69%,100%,0%,0%,0%,
2011-12,Grand Blanc Academy,District,25903,Teacher,28,0,28,0,28,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Grand Blanc Community Schools,District,25030,Teacher,423,244,176,3,420,3,0,58%,42%,99%,1%,1%,0%,
2011-12,Grand Haven Area Public Schools,District,70010,Teacher,396,0,393,3,393,3,0,0%,99%,99%,1%,1%,0%,
2011-12,Grand Ledge Public Schools,District,23060,Teacher,281,91,181,7,272,9,2,32%,64%,97%,2%,3%,1%,
2011-12,Grand Rapids Child Discovery Center,District,41921,Teacher,14,5,9,0,14,0,0,36%,64%,100%,0%,0%,0%,
2011-12,Grand Rapids Public Schools,District,41010,Teacher,"1,329",482,800,44,"1,282",47,3,36%,60%,96%,3%,4%,0%,
2011-12,Grand Traverse Academy,District,28902,Teacher,68,68,0,0,68,0,0,100%,0%,100%,0%,0%,0%,
2011-12,Grandville Public Schools,District,41130,Teacher,350,15,333,1,348,2,1,4%,95%,99%,0%,1%,0%,
2011-12,Grant Public School District,District,62050,Teacher,120,16,102,0,118,2,2,13%,85%,98%,0%,2%,2%,
2011-12,Grant Township S/D #2,District,42030,Teacher,1,1,0,0,1,0,0,100%,0%,100%,0%,0%,0%,
2011-12,Grass Lake Community Schools,District,38050,Teacher,76,0,76,0,76,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Gratiot-Isabella RESD  - District created from ISD,District,29000,Teacher,23,0,23,0,23,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Great Lakes Academy,District,63907,Teacher,19,0,14,5,14,5,0,0%,74%,74%,26%,26%,0%,
2011-12,Great Oaks Academy,District,63922,Teacher,39,4,29,6,33,6,0,10%,74%,85%,15%,15%,0%,
2011-12,Greenville Public Schools,District,59070,Teacher,209,51,154,2,205,4,2,24%,74%,98%,1%,2%,1%,
2011-12,Grosse Ile Township Schools,District,82300,Teacher,112,11,97,3,108,4,1,10%,87%,96%,3%,4%,1%,
2011-12,Grosse Pointe Public Schools,District,82055,Teacher,622,25,595,2,620,2,0,4%,96%,100%,0%,0%,0%,
2011-12,Gull Lake Community Schools,District,39065,Teacher,172,38,132,2,170,2,0,22%,77%,99%,1%,1%,0%,
2011-12,Gwinn Area Community Schools,District,52040,Teacher,98,37,60,1,97,1,0,38%,61%,99%,1%,1%,0%,
2011-12,Hagar Township S/D #6,District,11670,Teacher,5,0,5,0,5,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Hale Area Schools,District,35020,Teacher,33,6,27,0,33,0,0,18%,82%,100%,0%,0%,0%,
2011-12,Hamilton Academy,District,82733,Teacher,42,0,42,0,42,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Hamilton Community Schools,District,03100,Teacher,166,19,145,2,164,2,0,11%,87%,99%,1%,1%,0%,
2011-12,Hamtramck Academy,District,82977,Teacher,31,0,20,11,20,11,0,0%,65%,65%,35%,35%,0%,
2011-12,"Hamtramck, School District of the City of",District,82060,Teacher,184,4,167,11,171,13,2,2%,91%,93%,6%,7%,1%,
2011-12,Hancock Public Schools,District,31010,Teacher,57,22,35,0,57,0,0,39%,61%,100%,0%,0%,0%,
2011-12,Hanley International Academy,District,82986,Teacher,34,0,33,0,33,1,1,0%,97%,97%,0%,3%,3%,
2011-12,Hanover-Horton School District,District,38100,Teacher,81,47,33,0,80,1,1,58%,41%,99%,0%,1%,1%,
2011-12,Harbor Beach Community Schools,District,32060,Teacher,33,0,33,0,33,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Harbor Springs School District,District,24020,Teacher,73,0,73,0,73,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Harper Creek Community Schools,District,13070,Teacher,175,140,35,0,175,0,0,80%,20%,100%,0%,0%,0%,
2011-12,"Harper Woods, The School District of the City of",District,82320,Teacher,81,24,57,0,81,0,0,30%,70%,100%,0%,0%,0%,
2011-12,Harrison Community Schools,District,18060,Teacher,87,0,84,1,84,3,2,0%,97%,97%,1%,3%,2%,
2011-12,Hart Public School District,District,64040,Teacher,85,21,62,1,83,2,1,25%,73%,98%,1%,2%,1%,
2011-12,Hartford Public Schools,District,80120,Teacher,99,46,53,0,99,0,0,46%,54%,100%,0%,0%,0%,
2011-12,Hartland Consolidated Schools,District,47060,Teacher,291,291,0,0,291,0,0,100%,0%,100%,0%,0%,0%,
2011-12,Haslett Public Schools,District,33060,Teacher,164,81,83,0,164,0,0,49%,51%,100%,0%,0%,0%,
2011-12,Hastings Area School District,District,08030,Teacher,167,79,85,3,164,3,0,47%,51%,98%,2%,2%,0%,
2011-12,"Hazel Park, School District of the City of",District,63130,Teacher,299,296,2,0,298,1,1,99%,1%,100%,0%,0%,0%,
2011-12,HEART Academy,District,82927,Teacher,19,7,12,0,19,0,0,37%,63%,100%,0%,0%,0%,
2011-12,Hemlock Public School District,District,73210,Teacher,80,13,67,0,80,0,0,16%,84%,100%,0%,0%,0%,
2011-12,Henry Ford Academy,District,82926,Teacher,28,19,7,2,26,2,0,68%,25%,93%,7%,7%,0%,
2011-12,Henry Ford Academy: School for Creative Studies (PSAD),District,82703,Teacher,43,0,43,0,43,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Hesperia Community Schools,District,62060,Teacher,70,5,64,1,69,1,0,7%,91%,99%,1%,1%,0%,
2011-12,Highland Park City Schools,District,82070,Teacher,1,0,1,0,1,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Hillman Community Schools,District,60020,Teacher,34,0,34,0,34,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Hillsdale Community Schools,District,30020,Teacher,92,26,62,3,88,4,1,28%,67%,96%,3%,4%,1%,
2011-12,Hillsdale ISD  - District created from ISD,District,30000,Teacher,33,0,33,0,33,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Hillsdale Preparatory School,District,30901,Teacher,7,0,7,0,7,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Hinoki International School,District,82726,Teacher,3,0,3,0,3,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Holland City School District,District,70020,Teacher,272,64,193,15,257,15,0,24%,71%,94%,6%,6%,0%,
2011-12,Holly Academy,District,63911,Teacher,52,41,11,0,52,0,0,79%,21%,100%,0%,0%,0%,
2011-12,Holly Area School District,District,63210,Teacher,190,159,31,0,190,0,0,84%,16%,100%,0%,0%,0%,
2011-12,Holt Public Schools,District,33070,Teacher,352,0,352,0,352,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Holton Public Schools,District,61120,Teacher,65,0,64,1,64,1,0,0%,98%,98%,2%,2%,0%,
2011-12,Homer Community School District,District,13080,Teacher,77,35,42,0,77,0,0,45%,55%,100%,0%,0%,0%,
2011-12,Honey Creek Community School,District,81901,Teacher,18,16,2,0,18,0,0,89%,11%,100%,0%,0%,0%,
2011-12,Hope Academy,District,82942,Teacher,29,0,27,2,27,2,0,0%,93%,93%,7%,7%,0%,
2011-12,Hope Academy of West Michigan,District,41926,Teacher,22,4,9,0,13,9,9,18%,41%,59%,0%,41%,41%,
2011-12,Hope of Detroit Academy,District,82957,Teacher,39,0,38,0,38,1,1,0%,97%,97%,0%,3%,3%,
2011-12,Hopkins Public Schools,District,03070,Teacher,95,48,47,0,95,0,0,51%,49%,100%,0%,0%,0%,
2011-12,Houghton Lake Community Schools,District,72020,Teacher,104,0,97,1,97,7,6,0%,93%,93%,1%,7%,6%,
2011-12,Houghton-Portage Township School District,District,31110,Teacher,79,41,37,0,78,1,1,52%,47%,99%,0%,1%,1%,
2011-12,Howell Public Schools,District,47070,Teacher,441,119,320,0,439,2,2,27%,73%,100%,0%,0%,0%,
2011-12,Hudson Area Schools,District,46080,Teacher,53,3,50,0,53,0,0,6%,94%,100%,0%,0%,0%,
2011-12,Hudsonville Public School District,District,70190,Teacher,384,247,134,3,381,3,0,64%,35%,99%,1%,1%,0%,
2011-12,Huron Academy,District,50903,Teacher,34,14,20,0,34,0,0,41%,59%,100%,0%,0%,0%,
2011-12,Huron ISD  - District created from ISD,District,32000,Teacher,23,0,22,0,22,1,1,0%,96%,96%,0%,4%,4%,
2011-12,Huron School District,District,82340,Teacher,139,7,132,0,139,0,0,5%,95%,100%,0%,0%,0%,
2011-12,Huron Valley Schools,District,63220,Teacher,539,6,531,1,537,2,1,1%,99%,100%,0%,0%,0%,
2011-12,Ida Public School District,District,58070,Teacher,95,83,11,0,94,1,1,87%,12%,99%,0%,1%,1%,
2011-12,Imlay City Community Schools,District,44060,Teacher,105,35,67,3,102,3,0,33%,64%,97%,3%,3%,0%,
2011-12,Ingham ISD  - District created from ISD,District,33000,Teacher,67,3,62,1,65,2,1,4%,93%,97%,1%,3%,1%,
2011-12,Inland Lakes Schools,District,16050,Teacher,54,0,49,0,49,5,5,0%,91%,91%,0%,9%,9%,
2011-12,International Academy of Flint,District,25905,Teacher,60,6,54,0,60,0,0,10%,90%,100%,0%,0%,0%,
2011-12,International Academy of Saginaw,District,73912,Teacher,23,0,20,3,20,3,0,0%,87%,87%,13%,13%,0%,
2011-12,Ionia ISD  - District created from ISD,District,34000,Teacher,31,1,29,1,30,1,0,3%,94%,97%,3%,3%,0%,
2011-12,Ionia Public Schools,District,34010,Teacher,182,46,132,4,178,4,0,25%,73%,98%,2%,2%,0%,
2011-12,Ionia Township S/D #2,District,34360,Teacher,1,0,1,0,1,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Iosco RESA  - District created from ISD,District,35000,Teacher,10,4,4,2,8,2,0,40%,40%,80%,20%,20%,0%,
2011-12,Iron Mountain Public Schools,District,22010,Teacher,89,0,89,0,89,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Ironwood Area Schools of Gogebic County,District,27020,Teacher,68,0,68,0,68,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Ishpeming Public School District No. 1,District,52180,Teacher,57,39,16,0,55,2,2,68%,28%,96%,0%,4%,4%,
2011-12,Island City Academy,District,23901,Teacher,15,2,6,7,8,7,0,13%,40%,53%,47%,47%,0%,
2011-12,Ithaca Public Schools,District,29060,Teacher,85,29,55,1,84,1,0,34%,65%,99%,1%,1%,0%,
2011-12,Jackson ISD  - District created from ISD,District,38000,Teacher,89,47,41,0,88,1,1,53%,46%,99%,0%,1%,1%,
2011-12,Jackson Public Schools,District,38170,Teacher,385,133,250,1,383,2,1,35%,65%,99%,0%,1%,0%,
2011-12,Jalen Rose Leadership Academy,District,82728,Teacher,9,0,4,2,4,5,3,0%,44%,44%,22%,56%,33%,
2011-12,Jefferson Schools (Monroe),District,58080,Teacher,131,27,102,2,129,2,0,21%,78%,98%,2%,2%,0%,
2011-12,Jenison Public Schools,District,70175,Teacher,315,34,278,1,312,3,2,11%,88%,99%,0%,1%,1%,
2011-12,Johannesburg-Lewiston Area Schools,District,69030,Teacher,54,0,54,0,54,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Jonesville Community Schools,District,30030,Teacher,79,9,68,2,77,2,0,11%,86%,97%,3%,3%,0%,
2011-12,Joseph K. Lumsden Bahweting Anishnabe Academy,District,17901,Teacher,46,0,46,0,46,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Joy Preparatory Academy,District,82958,Teacher,22,9,13,0,22,0,0,41%,59%,100%,0%,0%,0%,
2011-12,Kalamazoo Public Schools,District,39010,Teacher,807,130,672,3,802,5,2,16%,83%,99%,0%,1%,0%,
2011-12,Kalamazoo RESA  - District created from ISD,District,39000,Teacher,81,23,58,0,81,0,0,28%,72%,100%,0%,0%,0%,
2011-12,Kaleva Norman Dickson School District,District,51045,Teacher,42,0,42,0,42,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Kalkaska Public Schools,District,40040,Teacher,112,0,112,0,112,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Kearsley Community School District,District,25110,Teacher,165,89,75,1,164,1,0,54%,45%,99%,1%,1%,0%,
2011-12,Kelloggsville Public Schools,District,41140,Teacher,151,32,116,2,148,3,1,21%,77%,98%,1%,2%,1%,
2011-12,Kenowa Hills Public Schools,District,41145,Teacher,204,117,84,0,201,3,3,57%,41%,99%,0%,1%,1%,
2011-12,Kensington Woods Schools,District,47901,Teacher,14,4,9,0,13,1,1,29%,64%,93%,0%,7%,7%,
2011-12,Kent City Community Schools,District,41150,Teacher,86,15,70,1,85,1,0,17%,81%,99%,1%,1%,0%,
2011-12,Kent ISD  - District created from ISD,District,41000,Teacher,68,20,48,0,68,0,0,29%,71%,100%,0%,0%,0%,
2011-12,Kentwood Public Schools,District,41160,Teacher,515,103,408,4,511,4,0,20%,79%,99%,1%,1%,0%,
2011-12,Keystone Academy,District,82976,Teacher,34,5,25,4,30,4,0,15%,74%,88%,12%,12%,0%,
2011-12,Kingsley Area Schools,District,28090,Teacher,77,12,65,0,77,0,0,16%,84%,100%,0%,0%,0%,
2011-12,Kingston Community School District,District,79080,Teacher,33,0,33,0,33,0,0,0%,100%,100%,0%,0%,0%,
2011-12,Knapp Charter Academy,District,41914,Teacher,39,0,39,0,39,0,0,0%,100%,100%,0%,0%,0%,
2011-12,L'Anse Area Schools,District,07040,Teacher,55,42,12,1,54,1,0,76%,22%,98%,2%,2%,0%,
2011-12,L'Anse Creuse Public Schools,District,50140,Teacher,651,521,123,6,644,7,1,80%,19%,99%,1%,1%,0%,
2011-12,Laingsburg Community Schools,District,78040,Teacher,59,10,47,2,57,2,0,17%,80%,97%,3%,3%,0%,
